species_category,page_url,table_index,row_index,document_name,document_author,document_year,table_caption,Chemical,Endpoint Value,Endpoint Description,Sex,Life Cycle Stage,Sample Size,Location,Type,California Counties,Countries,page_number,Exposure Endpoint Type,Units,Condition,Error,Age-Specific,Lab,parsed_document_title,parsed_authors,parsed_issue,parsed_volume,parsed_year,parsed_journal
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:The status of the California tiger salamander (Ambystoma californiense) at Lagunita: A 50-year update.Author(s)Barry, S.J. and Shaffer, H.B.Issue2Volume28",,Few days post migration,Time of spawning,B,Adult,,Xeric central California valleys/foothills,Exposure Factor Datasets,,USA,1,Time of Mating/ Laying,,,,,,The status of the California tiger salamander (Ambystoma californiense) at Lagunita: A 50-year update,"Barry, S.J., Shaffer, H.B.",2,28,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,1,1,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:The status of the California tiger salamander (Ambystoma californiense) at Lagunita: A 50-year update.Author(s)Barry, S.J. and Shaffer, H.B.Issue2Volume28",,2 to 4,Time of egg hatching post deposition,B,Embryo,,Xeric central California valleys/foothills,Exposure Factor Datasets,,USA,1,Time of Hatching or Parturition,weeks,,,,,The status of the California tiger salamander (Ambystoma californiense) at Lagunita: A 50-year update,"Barry, S.J., Shaffer, H.B.",2,28,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,2,2,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:The status of the California tiger salamander (Ambystoma californiense) at Lagunita: A 50-year update.Author(s)Barry, S.J. and Shaffer, H.B.Issue2Volume28",,Algae and aquatic invertebrates,Larval diet,B,Juvenile,,Xeric central California valleys/foothills,Exposure Factor Datasets,,USA,1,Dietary Composition,,,,,,The status of the California tiger salamander (Ambystoma californiense) at Lagunita: A 50-year update,"Barry, S.J., Shaffer, H.B.",2,28,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,3,3,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:The status of the California tiger salamander (Ambystoma californiense) at Lagunita: A 50-year update.Author(s)Barry, S.J. and Shaffer, H.B.Issue2Volume28",,Summer and autumn,Aestivate timing of metamorphosed individuals,B,Juvenile,,Xeric central California valleys/foothills,Exposure Factor Datasets,,USA,1,Time of Fledging or Metamorphosis,,,,,,The status of the California tiger salamander (Ambystoma californiense) at Lagunita: A 50-year update,"Barry, S.J., Shaffer, H.B.",2,28,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Spatially autocorrelated demography and interpond dispersal in the salamander Ambystoma californiense.Author(s)Trenham, P.C., Koenig, W.D. and Shaffer, H.B.Issue12Volume82",,"BP: 45, SK: 8, LC: 89, CRP: 1, SP: 7, HP: 0, WP: 43, CP: 17, TP: 27, AP: n/a",Annual estimated breeding population per pond,M,Adult,,Oak Ridge Ranch; see citation for pond acronyms and areas,Exposure Factor Datasets,Monterey,USA,1,Population Density,No. individuals,Breeding,,,,Spatially autocorrelated demography and interpond dispersal in the salamander Ambystoma californiense,"Trenham, P.C., Koenig, W.D., Shaffer, H.B.",12,82,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,1,1,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Spatially autocorrelated demography and interpond dispersal in the salamander Ambystoma californiense.Author(s)Trenham, P.C., Koenig, W.D. and Shaffer, H.B.Issue12Volume82",,"BP: 13, SK: 0, LC: 32, CRP: 0, SP: 1, HP: 1, WP: 7, CP: 4, TP: 6, AP: n/a",Annual estimated breeding population per pond,F,Adult,,Oak Ridge Ranch; see citation for pond acronyms and areas,Exposure Factor Datasets,Monterey,USA,1,Population Density,No. individuals,Breeding,,,,Spatially autocorrelated demography and interpond dispersal in the salamander Ambystoma californiense,"Trenham, P.C., Koenig, W.D., Shaffer, H.B.",12,82,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,2,2,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Spatially autocorrelated demography and interpond dispersal in the salamander Ambystoma californiense.Author(s)Trenham, P.C., Koenig, W.D. and Shaffer, H.B.Issue12Volume82",,"BP: 47, SK: 14, LC: 325, CRP: 8, SP: 9, HP: 20, WP: 107, CP: 36, TP: 57, AP: 8",Annual estimated breeding population per pond,M,Adult,,Oak Ridge Ranch; see citation for pond acronyms and areas,Exposure Factor Datasets,Monterey,USA,1,Population Density,No. individuals,Breeding,,,,Spatially autocorrelated demography and interpond dispersal in the salamander Ambystoma californiense,"Trenham, P.C., Koenig, W.D., Shaffer, H.B.",12,82,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,3,3,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Spatially autocorrelated demography and interpond dispersal in the salamander Ambystoma californiense.Author(s)Trenham, P.C., Koenig, W.D. and Shaffer, H.B.Issue12Volume82",,"BP: 36, SK: 3, LC: 216, CRP: 1, SP: 2, HP: 6, WP: 44, CP: 12, TP: 39, AP: 4",Annual estimated breeding population per pond,F,Adult,,Oak Ridge Ranch; see citation for pond acronyms and areas,Exposure Factor Datasets,Monterey,USA,1,Population Density,No. individuals,Breeding,,,,Spatially autocorrelated demography and interpond dispersal in the salamander Ambystoma californiense,"Trenham, P.C., Koenig, W.D., Shaffer, H.B.",12,82,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,4,4,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Spatially autocorrelated demography and interpond dispersal in the salamander Ambystoma californiense.Author(s)Trenham, P.C., Koenig, W.D. and Shaffer, H.B.Issue12Volume82",,"BP: 35, SK: 11, LC: 168, CRP: n/a, SP: 0, HP: 17, WP: 37, CP: 11, TP: 35, AP: 2",Annual estimated breeding population per pond,M,Adult,,Oak Ridge Ranch; see citation for pond acronyms and areas,Exposure Factor Datasets,Monterey,USA,1,Population Density,No. individuals,Breeding,,,,Spatially autocorrelated demography and interpond dispersal in the salamander Ambystoma californiense,"Trenham, P.C., Koenig, W.D., Shaffer, H.B.",12,82,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,5,5,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Spatially autocorrelated demography and interpond dispersal in the salamander Ambystoma californiense.Author(s)Trenham, P.C., Koenig, W.D. and Shaffer, H.B.Issue12Volume82",,"BP: 48, SK: 0, LC: 150, CRP: n/a, SP: 1, HP: 1, WP: 8, CP: 5, TP: 3, AP: 0",Annual estimated breeding population per pond,F,Adult,,Oak Ridge Ranch; see citation for pond acronyms and areas,Exposure Factor Datasets,Monterey,USA,1,Population Density,No. individuals,Breeding,,,,Spatially autocorrelated demography and interpond dispersal in the salamander Ambystoma californiense,"Trenham, P.C., Koenig, W.D., Shaffer, H.B.",12,82,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Terrestrial habitat use by adult California tiger salamanders.Author(s)Trenham, P.C.Issue2Volume35",,See citation Figure 1,Distance moved during post-breeding emigration,B,,13,Hastings Natural History Resrevation and Oak Ridge Ranch,Exposure Factor Datasets,Monterey,USA,1,Territory Size,m,,,,,Terrestrial habitat use by adult California tiger salamanders,"Trenham, P.C.",2,35,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Reproductive ecology of a population of the California tiger salamander.Author(s)Loredo, I. and Van Vuren, D.Issue4Volume1996",,"1992-1993: 65, 1993-1994: 121",Breeding population size,M,Adult,,Concord Naval Weapons Station,Exposure Factor Datasets,Contra Costa,USA,1,Population Density,mm,,,,,Reproductive ecology of a population of the California tiger salamander,"Loredo, I., Van Vuren, D.",4,1996,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,1,1,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Reproductive ecology of a population of the California tiger salamander.Author(s)Loredo, I. and Van Vuren, D.Issue4Volume1996",,"1992-1993: 81, 1993-1994: 15",Breeding population size,F,Adult,,Concord Naval Weapons Station,Exposure Factor Datasets,Contra Costa,USA,1,Population Density,mm,,,,,Reproductive ecology of a population of the California tiger salamander,"Loredo, I., Van Vuren, D.",4,1996,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,2,2,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Reproductive ecology of a population of the California tiger salamander.Author(s)Loredo, I. and Van Vuren, D.Issue4Volume1996",,"1991-1992: 1248, 1992-1993: 481, 1993-1994: 3",,B,Juvenile,,Concord Naval Weapons Station,Exposure Factor Datasets,Contra Costa,USA,1,Population Density,mm,,,,,Reproductive ecology of a population of the California tiger salamander,"Loredo, I., Van Vuren, D.",4,1996,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,3,3,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Reproductive ecology of a population of the California tiger salamander.Author(s)Loredo, I. and Van Vuren, D.Issue4Volume1996",,See citation Figure 4,Snout-vent length,B,Juvenile,,Concord Naval Weapons Station,Exposure Factor Datasets,Contra Costa,USA,1,Body length,mm,,,,,Reproductive ecology of a population of the California tiger salamander,"Loredo, I., Van Vuren, D.",4,1996,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,4,4,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Reproductive ecology of a population of the California tiger salamander.Author(s)Loredo, I. and Van Vuren, D.Issue4Volume1996",,200.3,Snout-vent length,M,Adult,65-121,Concord Naval Weapons Station,Exposure Factor Datasets,Contra Costa,USA,1,Body length,mm,,,,,Reproductive ecology of a population of the California tiger salamander,"Loredo, I., Van Vuren, D.",4,1996,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,5,5,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Reproductive ecology of a population of the California tiger salamander.Author(s)Loredo, I. and Van Vuren, D.Issue4Volume1996",,168.1,Snout-vent length,F,Adult,81-15,Concord Naval Weapons Station,Exposure Factor Datasets,Contra Costa,USA,1,Body length,mm,,,,,Reproductive ecology of a population of the California tiger salamander,"Loredo, I., Van Vuren, D.",4,1996,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,6,6,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Reproductive ecology of a population of the California tiger salamander.Author(s)Loredo, I. and Van Vuren, D.Issue4Volume1996",,"1992: 58.0, 1993: 63.8, 1994: 78.0",Snout-vent length,B,Juvenile,"1992: 1248, 1993: 481, 1994: 3",Concord Naval Weapons Station,Exposure Factor Datasets,Contra Costa,USA,1,Body length,mm,,,,,Reproductive ecology of a population of the California tiger salamander,"Loredo, I., Van Vuren, D.",4,1996,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Overwintering California tiger salamander (Ambystoma californiense) larvae.Author(s)Alvarez, J.A.Issue4Volume35",,126,Total length,NR,Juvenile,1,Perennial pond in cattle grazing land,Exposure Factor Datasets,Contra Costa,USA,1,Body length,mm,,,Larvae,,Overwintering California tiger salamander (Ambystoma californiense) larvae,"Alvarez, J.A.",4,35,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Survey protocol for the Siskiyou Mountains salamander (Plethodon stormi), ver. 3.0.Author(s)Clayton, D. R., L. M. Ollivier, and H. H. Welsh, Jr.PublisherUSDA Forest Service and USDI Bureau of LandManagement",,,Snout-vent length,NR,Adult,NR,,Exposure Factor Datasets,,USA,1,Body length,mm,,,,,"Survey protocol for the Siskiyou Mountains salamander (Plethodon stormi), ver. 3.0","Clayton, D. R., L. M. Ollivier,, H. H. Welsh, Jr.PublisherUSDA Forest Service, USDI Bureau of LandManagement",,,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:The biology of amphibians and reptiles in old-growth forests in the Pacific Northwest.Author(s)Blaustein, A.P., Beatty, J.J., Olson, D.H. and Storm, R.M.PublisherUSDA Northwest Research Station",,,Snout-vent length,B,Juvenile,,"Jackson County, OR and Siskiyou County, CA",Exposure Factor Datasets,,USA,1,Body length,mm,,,,,The biology of amphibians and reptiles in old-growth forests in the Pacific Northwest,"Blaustein, A.P., Beatty, J.J., Olson, D.H., Storm, R.M.PublisherUSDA Northwest Research Station",,,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,1,1,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:The biology of amphibians and reptiles in old-growth forests in the Pacific Northwest.Author(s)Blaustein, A.P., Beatty, J.J., Olson, D.H. and Storm, R.M.PublisherUSDA Northwest Research Station",,58.9,Snout-vent length,M,Adult,62,,Exposure Factor Datasets,,,1,Body length,mm,,,,,The biology of amphibians and reptiles in old-growth forests in the Pacific Northwest,"Blaustein, A.P., Beatty, J.J., Olson, D.H., Storm, R.M.PublisherUSDA Northwest Research Station",,,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,2,2,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:The biology of amphibians and reptiles in old-growth forests in the Pacific Northwest.Author(s)Blaustein, A.P., Beatty, J.J., Olson, D.H. and Storm, R.M.PublisherUSDA Northwest Research Station",,61.9,Snout-vent length,F,Adult,41,,Exposure Factor Datasets,,,1,Body length,mm,,,,,The biology of amphibians and reptiles in old-growth forests in the Pacific Northwest,"Blaustein, A.P., Beatty, J.J., Olson, D.H., Storm, R.M.PublisherUSDA Northwest Research Station",,,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,3,3,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:The biology of amphibians and reptiles in old-growth forests in the Pacific Northwest.Author(s)Blaustein, A.P., Beatty, J.J., Olson, D.H. and Storm, R.M.PublisherUSDA Northwest Research Station",,76,Snout-vent length,,Adult,,,Exposure Factor Datasets,,,1,Body length,mm,,,,,The biology of amphibians and reptiles in old-growth forests in the Pacific Northwest,"Blaustein, A.P., Beatty, J.J., Olson, D.H., Storm, R.M.PublisherUSDA Northwest Research Station",,,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,4,4,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:The biology of amphibians and reptiles in old-growth forests in the Pacific Northwest.Author(s)Blaustein, A.P., Beatty, J.J., Olson, D.H. and Storm, R.M.PublisherUSDA Northwest Research Station",,,,B,Adult,,,Exposure Factor Datasets,,,1,Age at Sexual Maturity,y,,,,,The biology of amphibians and reptiles in old-growth forests in the Pacific Northwest,"Blaustein, A.P., Beatty, J.J., Olson, D.H., Storm, R.M.PublisherUSDA Northwest Research Station",,,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,5,5,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:The biology of amphibians and reptiles in old-growth forests in the Pacific Northwest.Author(s)Blaustein, A.P., Beatty, J.J., Olson, D.H. and Storm, R.M.PublisherUSDA Northwest Research Station",,Autumn,,B,Embryo,,,Exposure Factor Datasets,,,1,Time of Hatching or Parturition,,,,,,The biology of amphibians and reptiles in old-growth forests in the Pacific Northwest,"Blaustein, A.P., Beatty, J.J., Olson, D.H., Storm, R.M.PublisherUSDA Northwest Research Station",,,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Newly discovered populations of salamanders from Siskiyou County California represent a species distinct from Plethodon stormi.Author(s)Mead, L.S., Clayton, D.R., Nauman, R.S., Olson, D.H. and Pfrender, M.E.Issue2Volume61",,57,Snout-vent length,F,Adult,1,,Exposure Factor Datasets,Siskiyou,USA,1,Body length,mm,,,,,Newly discovered populations of salamanders from Siskiyou County California represent a species distinct from Plethodon stormi,"Mead, L.S., Clayton, D.R., Nauman, R.S., Olson, D.H., Pfrender, M.E.",2,61,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians?page=0,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Variation in thermal niche of a declining river‐breeding frog: From counter‐gradient responses to population distribution patterns.Author(s)Catenazzi, A. and Kupferberg, S.J.Issue7Volume62",,3,Growth rate to front limb emergence per degree C increase,,Tadpole,,,Exposure Factor Datasets,,USA,2,Growth Rate,mg/d,,,,,Variation in thermal niche of a declining river‐breeding frog: From counter‐gradient responses to population distribution patterns,"Catenazzi, A., Kupferberg, S.J.",7,62,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians?page=0,1,1,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Variation in thermal niche of a declining river‐breeding frog: From counter‐gradient responses to population distribution patterns.Author(s)Catenazzi, A. and Kupferberg, S.J.Issue7Volume62",,0.02,Growth rate to front limb emergence per degree C increase,,Tadpole,,,Exposure Factor Datasets,,USA,2,Growth Rate,mm/d,,,,,Variation in thermal niche of a declining river‐breeding frog: From counter‐gradient responses to population distribution patterns,"Catenazzi, A., Kupferberg, S.J.",7,62,,
