species_category,page_url,table_index,row_index,document_name,document_author,document_year,table_caption,Chemical,Endpoint Value,Endpoint Description,Sex,Life Cycle Stage,Sample Size,Location,Type,California Counties,Countries,page_number,Exposure Endpoint Type,Units,Condition,Error,Age-Specific,Lab,parsed_document_title,parsed_authors,parsed_issue,parsed_volume,parsed_year,parsed_journal
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.686 (0.32-1.10),Tissue concentration,F,Adult,3,Mine,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,1,1,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.79,Tissue concentration,F,Adult,1,Mine,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,2,2,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.783 (0.56-1.20),Tissue concentration,B,Adult,3,Canyon,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,3,3,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.405 (0.12-0.74),Tissue concentration,F,Adult,3,Canyon,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,4,4,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.118 (0.08-0.16),Tissue concentration,F,Adult,2,Canyon,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,5,5,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),1.7,Tissue concentration,M,Adult,1,Mine,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,6,6,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.065 (0.04-0.11),Tissue concentration,F,Adult,3,Mine,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,7,7,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),1.1,Tissue concentration,M,Adult,1,Mine,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,8,8,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.846 (0.47-1.5),Tissue concentration,B,Adult,3,Mine,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,9,9,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.080 (0.06-0.12) ug/g ww,Tissue concentration,B,Adult,3,Reference,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,10,10,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.402 (0.27-0.77),Tissue concentration,M,Adult,3,Mine,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,11,11,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.082 (0.07-0.10),Tissue concentration,F,Adult,3,Reference,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,12,12,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.166 (0.07-0.35),Tissue concentration,B,Adult,5,Mine,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,13,13,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.070 (0.06-0.09),Tissue concentration,F,Adult,3,Reference,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,14,14,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.318 (0.08-0.91),Tissue concentration,B,Both Adults and Juveniles,4,Mine,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,15,15,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.159 (0.11-0.23),Tissue concentration,F,Adult,3,Mine,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,16,16,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.31,Tissue concentration,F,Adult,1,Canyon,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,17,17,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.328 (0.31-0.35),Tissue concentration,M,Adult,3,Mine,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,18,18,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.11,Tissue concentration,M,Adult,2,Canyon,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,19,19,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.377 (0.37-0.39),Tissue concentration,B,Adult,3,Mine,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,20,20,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.123 (0.06-0.23),Tissue concentration,M,Adult,2,Canyon,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,21,21,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.443 (0.35-0.58),Tissue concentration,B,Adult,3,Mine,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,22,22,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA.Author(s)Hothem, R.L., Jennings, M.R. and Crayon, J.J.Issue1Volume163",MERCURY (elemental),0.320 (0.21-0.49),Tissue concentration,M,Adult,2,Canyon,Toxicity Factor Datasets,,USA,1,,,,,,,"Mercury contamination in three species of anuran amphibians from the Cache Creek Watershed, California, USA","Hothem, R.L., Jennings, M.R., Crayon, J.J.",1,163,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Effects of carbaryl on species interactions of the foothill yellow legged frog (Rana boylii) and the Pacific treefrog (Pseudacris regilla).Author(s)Kerby, J.L. and Sih, A.Issue1Volume746",CARBARYL,585 ug/L ± 229,LC50,B,Tadpole,100,,Toxicity Factor Datasets,Nevada,USA,1,,,,,,,Effects of carbaryl on species interactions of the foothill yellow legged frog (Rana boylii) and the Pacific treefrog (Pseudacris regilla),"Kerby, J.L., Sih, A.",1,746,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,1,1,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Effects of carbaryl on species interactions of the foothill yellow legged frog (Rana boylii) and the Pacific treefrog (Pseudacris regilla).Author(s)Kerby, J.L. and Sih, A.Issue1Volume746",CARBARYL,No effect,LC50 (competition due to exposure),B,Tadpole,20,,Toxicity Factor Datasets,Nevada,USA,1,,,,,,,Effects of carbaryl on species interactions of the foothill yellow legged frog (Rana boylii) and the Pacific treefrog (Pseudacris regilla),"Kerby, J.L., Sih, A.",1,746,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,2,2,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Effects of carbaryl on species interactions of the foothill yellow legged frog (Rana boylii) and the Pacific treefrog (Pseudacris regilla).Author(s)Kerby, J.L. and Sih, A.Issue1Volume746",CARBARYL,Slightly reduced,Development rate,B,Tadpole,60,,Toxicity Factor Datasets,Nevada,USA,1,,,,,,,Effects of carbaryl on species interactions of the foothill yellow legged frog (Rana boylii) and the Pacific treefrog (Pseudacris regilla),"Kerby, J.L., Sih, A.",1,746,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Effects of chytrid and carbaryl exposure on survival, growth and skin peptide defenses in foothill yellow-legged frogs.Author(s)Davidson, C., Benard, M.F., Shaffer, H.B., Parker, J.M., O'Leary, C., Conlon, J.M. and Rollins-Smith, L.A.Issue5Volume41",CARBARYL,20%,Mortality,NR,Not Reported,,,Toxicity Factor Datasets,,,1,,,,,,,"Effects of chytrid and carbaryl exposure on survival, growth and skin peptide defenses in foothill yellow-legged frogs","Davidson, C., Benard, M.F., Shaffer, H.B., Parker, J.M., O'Leary, C., Conlon, J.M., Rollins-Smith, L.A.",5,41,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,1,1,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Effects of chytrid and carbaryl exposure on survival, growth and skin peptide defenses in foothill yellow-legged frogs.Author(s)Davidson, C., Benard, M.F., Shaffer, H.B., Parker, J.M., O'Leary, C., Conlon, J.M. and Rollins-Smith, L.A.Issue5Volume41",CARBARYL,20%,Mortality,NR,Not Reported,,Collected from Garcia River,Toxicity Factor Datasets,Mendocino,USA,1,,,,,,,"Effects of chytrid and carbaryl exposure on survival, growth and skin peptide defenses in foothill yellow-legged frogs","Davidson, C., Benard, M.F., Shaffer, H.B., Parker, J.M., O'Leary, C., Conlon, J.M., Rollins-Smith, L.A.",5,41,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,2,2,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Effects of chytrid and carbaryl exposure on survival, growth and skin peptide defenses in foothill yellow-legged frogs.Author(s)Davidson, C., Benard, M.F., Shaffer, H.B., Parker, J.M., O'Leary, C., Conlon, J.M. and Rollins-Smith, L.A.Issue5Volume41",CARBARYL,<0.1-0.9 ug/g body weight,Tissue concentration,NR,Not Reported,,Collected from Garcia River,Toxicity Factor Datasets,Mendocino,USA,1,,,,,,,"Effects of chytrid and carbaryl exposure on survival, growth and skin peptide defenses in foothill yellow-legged frogs","Davidson, C., Benard, M.F., Shaffer, H.B., Parker, J.M., O'Leary, C., Conlon, J.M., Rollins-Smith, L.A.",5,41,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,3,3,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Effects of chytrid and carbaryl exposure on survival, growth and skin peptide defenses in foothill yellow-legged frogs.Author(s)Davidson, C., Benard, M.F., Shaffer, H.B., Parker, J.M., O'Leary, C., Conlon, J.M. and Rollins-Smith, L.A.Issue5Volume41",CARBARYL,See citation Figure 1,Growth,NR,Not Reported,,Collected from Garcia River,Toxicity Factor Datasets,Mendocino,USA,1,,,,,,,"Effects of chytrid and carbaryl exposure on survival, growth and skin peptide defenses in foothill yellow-legged frogs","Davidson, C., Benard, M.F., Shaffer, H.B., Parker, J.M., O'Leary, C., Conlon, J.M., Rollins-Smith, L.A.",5,41,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,4,4,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Effects of chytrid and carbaryl exposure on survival, growth and skin peptide defenses in foothill yellow-legged frogs.Author(s)Davidson, C., Benard, M.F., Shaffer, H.B., Parker, J.M., O'Leary, C., Conlon, J.M. and Rollins-Smith, L.A.Issue5Volume41",CARBARYL,"Day 3: decreased, 7-70: no effect",Total skin peptide concentration,NR,Not Reported,,Collected from Garcia River,Toxicity Factor Datasets,Mendocino,USA,1,,,,,,,"Effects of chytrid and carbaryl exposure on survival, growth and skin peptide defenses in foothill yellow-legged frogs","Davidson, C., Benard, M.F., Shaffer, H.B., Parker, J.M., O'Leary, C., Conlon, J.M., Rollins-Smith, L.A.",5,41,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,0,0,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Comparative toxicity of chlorpyrifos, diazinon, malathion and their oxon derivatives to larval Rana boylii.Author(s)Sparling, D.W. and Fellers, G.Issue3Volume147",CHLORPYRIFOS,3.005 mg/L,Mortality,B,Tadpole,See Table 1,Eggs from stream near Fort Bragg,Toxicity Factor Datasets,Mendocino,USA,1,,,,,,,"Comparative toxicity of chlorpyrifos, diazinon, malathion and their oxon derivatives to larval Rana boylii","Sparling, D.W., Fellers, G.",3,147,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,1,1,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Comparative toxicity of chlorpyrifos, diazinon, malathion and their oxon derivatives to larval Rana boylii.Author(s)Sparling, D.W. and Fellers, G.Issue3Volume147",DIAZINON,7.488 mg/L,Mortality,B,Tadpole,See Table 1,Eggs from stream near Fort Bragg,Toxicity Factor Datasets,Mendocino,USA,1,,,,,,,"Comparative toxicity of chlorpyrifos, diazinon, malathion and their oxon derivatives to larval Rana boylii","Sparling, D.W., Fellers, G.",3,147,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,2,2,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Comparative toxicity of chlorpyrifos, diazinon, malathion and their oxon derivatives to larval Rana boylii.Author(s)Sparling, D.W. and Fellers, G.Issue3Volume147",MALATHION,2.137 mg/L,Mortality,B,Tadpole,See Table 1,Eggs from stream near Fort Bragg,Toxicity Factor Datasets,Mendocino,USA,1,,,,,,,"Comparative toxicity of chlorpyrifos, diazinon, malathion and their oxon derivatives to larval Rana boylii","Sparling, D.W., Fellers, G.",3,147,,
Amphibians,https://ecotox.oehha.ca.gov/species/amphibians,6,6,,"Author(s)Sparling, D.W. and Fellers, G.M.",1964,"Citation:Comparative toxicity of chlorpyrifos, diazinon, malathion and their oxon derivatives to larval Rana boylii.Author(s)Sparling, D.W. and Fellers, G.Issue3Volume147",CHLORPYRIFOS,See Figure 1,Cholinesterase activity,B,Tadpole,See Table 1,Eggs from stream near Fort Bragg,Toxicity Factor Datasets,Mendocino,USA,1,,,,,,,"Comparative toxicity of chlorpyrifos, diazinon, malathion and their oxon derivatives to larval Rana boylii","Sparling, D.W., Fellers, G.",3,147,,
